player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
1044002267,12,1,514,948.0251,69,5,0,2,8,2,0,0,1,0.5294118,32.73352,0,0,0
195108598,4,3,275,659.78284,47,1,0,1,1,0,0,0,0,0.5588235,100.06556,0,0,0
106573901,15,2,274,698.556,8,2,2,3,9,0,0,0,1,0.61764705,10.367285,0,0,1
164199202,3,7,81,464.51706,3,0,4,5,2,2,2,4,0,0.64705884,0.0,0,0,2
73401082,0,4,61,400.20963,3,0,8,4,1,5,4,1,0,0.38235295,21.066479,0,0,0
140411011,5,3,342,535.1244,53,0,0,4,1,1,0,2,0,0.5,48.734596,0,0,0
181716137,2,7,212,463.2997,15,0,1,0,8,3,0,4,0,0.4375,12.4,0,0,0
155447692,4,7,61,264.35138,9,0,3,2,4,0,4,3,0,0.9375,49.39914,0,0,1
156328257,3,6,302,481.74283,30,0,1,0,1,2,0,2,0,0.4375,37.0341,0,1,0
118559150,1,11,31,275.1251,3,0,10,0,2,6,2,3,0,0.625,18.199347,0,0,0

