player_name,team_name,player_role,stat_1,stat_2,stat_3,stat_4,stat_5,prefix,suffix,average,stddev
shiro,Team Tidebound,Core,Red - Creep Score,Red - GPM,Red - Tower Kills,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,8023.33703584709,1799.2066452081476
Satanic,PVISION,Core,Red - Creep Score,Red - GPM,Red - Madstone Collected,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,7919.433978078426,1324.0114198710762
skiter,Team Falcons,Core,Red - Creep Score,Red - GPM,Red - Madstone Collected,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,7483.790882845766,1486.4998533600367
Ame,Xtreme Gaming,Core,Red - Creep Score,Red - GPM,Red - Deaths,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,7099.42452412153,1291.5012601845435
Ghost,Nigma Galaxy,Core,Red - Creep Score,Red - GPM,Red - Madstone Collected,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,7091.440088799973,1431.462311099217
Pure,BB Team,Core,Red - Creep Score,Red - GPM,Red - Deaths,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,7038.053805475418,1167.6420089023718
Malr1ne,Team Falcons,Mid,Red - GPM,Red - Creep Score,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Sacrificial,of the Octopus,6987.718562150637,1633.010250689477
Yuma,HEROIC,Core,Red - GPM,Red - Kills,Red - Creep Score,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,6900.9710613408915,1139.7347429395315
gpk~,BB Team,Mid,Red - Deaths,Red - GPM,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Glamorous,of the Octopus,6728.748870844471,1069.5018600828023
No[o]ne-,PVISION,Mid,Red - GPM,Red - Creep Score,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Virtuoso,of the Octopus,6507.181750098916,1113.4833447980752
Sneyking,Team Falcons,Support,Blue - Watchers Taken,Blue - Lotuses Grabbed,Blue - Wards Placed,Green - Teamfight Participation,Green - Tormentor Kills,Emerald,of the Octopus,6424.964436382885,1688.6776092125226
SumaiL-,Nigma Galaxy,Mid,Red - Creep Score,Red - GPM,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Cerulean,of the Octopus,6386.071754417723,1252.6975251181907
bzm,Tundra Esports,Mid,Red - GPM,Red - Deaths,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Virtuoso,of the Octopus,6346.176745840639,1280.6647116548347
Xm,Xtreme Gaming,Mid,Red - GPM,Red - Creep Score,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Tormentor Kills,Cerulean,of the Octopus,6335.899975327158,1062.4028655849665
NothingToSay,Team Tidebound,Mid,Red - GPM,Red - Creep Score,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Virtuoso,of the Octopus,6320.753210338071,1299.8628205339044
4nalog丶01,HEROIC,Mid,Red - Deaths,Red - GPM,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Glamorous,of the Octopus,6210.255936303502,1162.2229909673895
OmaR,Nigma Galaxy,Support,Blue - Wards Placed,Blue - Smokes Used,Blue - Lotuses Grabbed,Green - Teamfight Participation,Green - Stuns,Balanced,of the Octopus,6156.325855105294,1411.258764770002
Dukalis,PVISION,Support,Blue - Smokes Used,Blue - Wards Placed,Blue - Lotuses Grabbed,Green - Teamfight Participation,Green - Tormentor Kills,Canny,of the Octopus,6109.36440030607,1403.5258633553924
y`,Team Tidebound,Support,Blue - Wards Placed,Blue - Smokes Used,Blue - Watchers Taken,Green - Teamfight Participation,Green - Stuns,Canny,of the Octopus,6057.1304532921195,1557.8752950309747
Wisper,HEROIC,Core,Red - GPM,Red - Deaths,Red - Creep Score,Green - Teamfight Participation,Green - Stuns,Brawny,of the Octopus,6053.890522635702,971.7308421155528
xNova,Xtreme Gaming,Support,Blue - Wards Placed,Blue - Smokes Used,Blue - Lotuses Grabbed,Green - Teamfight Participation,Green - Tormentor Kills,Canny,of the Octopus,6017.07508285794,1488.0467711922465
Xxs,Xtreme Gaming,Core,Red - Deaths,Red - GPM,Red - Creep Score,Green - Teamfight Participation,Green - Stuns,Brawny,of the Octopus,6013.354770116848,1082.1687367859106
AMMAR_THE_F,Team Falcons,Core,Red - GPM,Red - Creep Score,Red - Deaths,Green - Teamfight Participation,Green - Stuns,Brawny,of the Octopus,5989.252793566288,1356.9981035479877
MieRo,BB Team,Core,Red - GPM,Red - Deaths,Red - Creep Score,Green - Teamfight Participation,Green - Tormentor Kills,Brawny,of the Octopus,5954.44212830661,1076.2384690975089
Crystallis,Tundra Esports,Core,Red - GPM,Red - Creep Score,Red - Deaths,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,5931.33042729427,1100.0927244913394
Bach,Team Tidebound,Core,Red - GPM,Red - Deaths,Red - Creep Score,Green - Teamfight Participation,Green - Tormentor Kills,Brawny,of the Octopus,5855.231569926307,1174.0346834368124
DM,PVISION,Core,Red - Deaths,Red - GPM,Red - Creep Score,Green - Teamfight Participation,Green - Tormentor Kills,Balanced,of the Octopus,5823.0030358909435,984.1383690894093
Cr1t-,Team Falcons,Support,Blue - Smokes Used,Blue - Wards Placed,Blue - Camps Stacked,Green - Teamfight Participation,Green - Tormentor Kills,Emerald,of the Octopus,5791.212952318901,1536.4371025008318
KingJungles,HEROIC,Support,Blue - Wards Placed,Blue - Camps Stacked,Blue - Smokes Used,Green - Teamfight Participation,Green - Tormentor Kills,Sacrificial,of the Octopus,5708.552636071206,1280.9387898125142
No!ob™,Nigma Galaxy,Core,Red - GPM,Red - Creep Score,Red - Deaths,Green - Teamfight Participation,Green - Tormentor Kills,Brawny,of the Octopus,5693.8627120614,1185.8770350963782
33,Tundra Esports,Core,Red - GPM,Red - Deaths,Red - Creep Score,Green - Teamfight Participation,Green - Tormentor Kills,Brawny,of the Octopus,5571.047790031327,1045.6649996793926
Save-,BB Team,Support,Blue - Smokes Used,Blue - Wards Placed,Blue - Camps Stacked,Green - Teamfight Participation,Green - Stuns,Emerald,of the Octopus,5485.794301476954,1180.4584473767056
Scofield,HEROIC,Support,Blue - Lotuses Grabbed,Blue - Camps Stacked,Blue - Wards Placed,Green - Teamfight Participation,Green - Stuns,Brawny,of the Octopus,5410.783646643232,1456.898550086246
9Class,PVISION,Support,Blue - Lotuses Grabbed,Blue - Camps Stacked,Blue - Wards Placed,Green - Teamfight Participation,Green - Courier Kills,Glamorous,of the Octopus,5309.642624671761,1951.3216312853522
