player_name,team_name,player_role,average,stddev
Satanic,PVISION,Core,7006.4891915831,1171.3806477253045
shiro,Team Tidebound,Core,6904.888633629349,1548.3983108951497
skiter,Team Falcons,Core,6690.696628597295,1328.9681276482218
Ame,Xtreme Gaming,Core,6192.4861274231125,1126.514354800027
Malr1ne,Team Falcons,Mid,6174.684180616275,1443.0063935793585
gpk~,BB Team,Mid,6036.890354872504,959.5343187242137
SumaiL-,Nigma Galaxy,Mid,5714.587171048533,1120.9785109746826
Sneyking,Team Falcons,Support,5553.000836109505,1459.4988452816579
OmaR,Nigma Galaxy,Support,5545.598569135165,1271.2573653160093
y`,Team Tidebound,Support,5539.582656187292,1424.7635957990235
Dukalis,PVISION,Support,5521.888835723152,1268.5630268056316
